title,company_name,company_field,category_major,category_minor,employment_type,seniority,location,number_of_hire,experience,salary_range,skills,job_description,requirements,job_url,company_size,company_address,company_about,company_url
炙星商業策略顧問,"炙星股份有限公司 StarWorks Co., Ltd.",Incubator / Accelerator,Management / Business,Project Manager,Full-time,Assistant,"Taipei City, Taiwan",1,1 years of experience required,"40,000 ~ 70,000 TWD / month",['2024 ESG'],"您是否對洞察市場機會、商業模式充滿興趣，並想學習從投資人角度，輔導企業與個人成長？
你是否喜歡接觸多元產業領域，站在產業趨勢最前緣，拓展自己的商業與世界認知？
你是否嚮往更自由、彈性的工作模式，善於自主管理，挑戰高績效獎金？

【關於炙星】
炙星團隊透過整合產官學研各方資源，培養具社會與商業價值的優秀團隊與人才，建構高度資源整合的新創生態系，使新世代的人才無論在當代創業或就業環境中，皆能為社會貢獻價值，創造正向循環。
在 投資 方面，我們專注於投資在AI / 智慧科技以及ESG/ 永續 / 綠能兩大賽道， 種子輪至 Pre-A 輪 的新創，已投資 20＋不同產業之新創企業，並提供完整陪跑與輔導，發掘市場領導者。【炙星商業顧問扮演的角色】
基於幫助潛在投資、已投資的團隊成長，炙星的商業顧問致力從 新創投資人視角 深入診斷企業，透過 數據驅動的儀表板分析，協助企業釐清 營運流程、核心價值定位、護城河，找出 營收增長的關鍵指標，並在產業風口來臨時，精準投資最具潛力的公司。
我們不僅是顧問，更是與企業共同制定成長策略、獲取關鍵數據、調整商業模式，幫助企業加速成長的事業夥伴。
作為 炙星顧問，您將不僅提供策略建議，更會從投資人的視角透過數據與市場洞察，幫助企業優化商業模式、提升財務與營運表現，推動企業成長。

透過數據驅動的儀表板，診斷企業商業模式與財務結構，找出增長關鍵指標。
釐清企業營運流程、核心價值、護城河，提供具體策略與行動方案。
與投資企業深度合作，掌握市場趨勢，挖掘下一個最具發展潛力轉型機會。

加入我們，您會有的機會：

不僅限於顧問角色，您將能學習從新創投資人視角，輔導團隊成長，並能更深入了解企業財報及商業模式輔導。
透過接觸創投領域，您將有機會輔導各類新創團隊，並學習如何針對創業型公司提供策略性建議。
協助新創團隊達成商業與營運優化，並在過程中積累豐富的經驗。
有機會接觸到產官學研等各方知名人士及許多具有豐富經驗和專業知識的業界前輩、投資人及創業家等，透過與他們的交流和學習，可以快速拓展自我人脈並發展專業能力，提升商業思維與洞察能力。
透過在專案過程中累積的顧問經驗，未來您將擁有多元的職涯選擇，擔任經理人、成為新創投資人，甚至當您未來選擇創業時，有機會獲得更多早期投資人或導師前輩的支援。

環境與福利：

Co-working Space / 景觀舒適的工作體驗

鄰近榮星花園，綠色景觀美，交通方便、美食多；擁有團隊專屬的辦公室，亦有開放式座位區、質感沙發區等，辦公環境舒適漂亮。


Flexible/ 擁有彈性的工作型態

部分工作可遠端，資深顧問夥伴可依需求與狀況遠端工作。


Learning/ 學習成長型企業

商業與多元主題進修課程（包含創業與創投領域培訓課程、職涯跨界探索、業務開發培訓課程）。
每月跨領域經理人演講，學習與掌握時代趨勢（Al, Data, NFT, blockchain）。
主管一對一討論未來職涯發展。","【顧問職位描述】
主要職責：

與企業進行詳細的需求分析，釐清企業痛點與商業模式，並透過桌面調研或訪談深入了解企業需求，協同顧問團隊制定明確的解決方案。
善用數位管理工具，規劃與設計專案進程、里程碑，並透過甘特圖或可視化流程圖，確保專案進度清晰可見，並能有效協助企業解決問題。
透過提供具體範本、手冊和教學，協助企業導入建議策略，並進行有效QC（Quality Control）與溝通。
建立並優化企業的財務、管理及業務報表儀表板，協助企業清楚掌握關鍵數據並指導目標聚焦。
積極維護與受輔導企業之關係，釐清企業需求，提升受輔導企業之服務體驗。

必要條件：

具備1~2年以上創業團隊與顧問類工作職能與經驗，包含但不限於獨立接案者、創業者，以及擁有擔任新創核心夥伴之經驗者。
具備基礎商業、營運管理知識，具備數據化思維能力。
具備訪談及書面調研能力，能清晰表達並製作簡報。
具備數位工具使用能力，結合專案管理技能，能夠有效控制專案進度。
具備獨立解決問題能力與彈性心態，能適時依據狀況思考動態調整與應對策略。
對創業及創投領域有高度興趣，並能同理企業團隊的挑戰與需求。

加分條件：

擁有創投、顧問、創新創業、醫療、傳產轉型經驗者優先。
熟悉數位工具，如Asana、Figma等，並能將結構化思考轉化為數位內容。
具備人資、行銷或數位轉型經驗者尤佳。
樂於賦能個體與企業，喜歡看見並幫助他人的成長，能從中獲得成就感。

加入炙星，您將能成為企業重要的輔導導師，賦能企業加速成長，歡迎您與我們一起改變世界！
如果您具備上述條件並對此職位感興趣，請立即聯繫我們！
顧問夥伴心得見證
「炙星不像傳統的管顧公司，而是更多的以投資人視角深入企業財報，診斷企業商業模式與財務結構，在參與炙星實習的過程，我實際的接觸了生醫等不同的產業，也和主管有密集的一對一討論，對我來說，炙星是一個可以認識不同產業、快速成長的地方！」- 實習生 碩展",https://www.cake.me/companies/starworks/jobs/star-business-strategy-consultant?locale=en,1 - 10 people,台北市中山區民權東路3段70之1號2樓,"炙星集團透過整合產官學研各方資源，培養具社會價值的團隊與人才，建構高度資源整合的新創生態系，使新世代人才無論在創業或就業，皆能為社會貢獻價值，創造正向循環，改變台灣。
身為孵化器的炙星本體，更致力於投資改變世界的新創團隊，並以創造社會價值為己任，協助台灣新創團隊營運成長與業務提升，進而打造創新商業模式，用投創的模式與力量，為台灣建立正向影響力的循環。
投資上，我們專注培育「種子輪」、「天使輪」到「Pre-A輪」等階段之優質新創進行投資，並提供完整陪跑與輔導。
透過整合財務、管理、行銷、產品設計等，各類顧問型公司之服務，系統化的為創業團隊提供創業過程當中，所需的知識與資訊、人才與人脈、資源與資金，幫助新創成長，促成團隊加速與綜效提升。
炙星投創的投資領域不分產業，關注軟體創業與硬體創業、生活消費型產業、及環保／永續／綠能／ESG等，高SROI（社會影響力）領域之項目。現已投資，15家不同產業之新創企業，完成初步的投資生態系建置。",https://www.cake.me/companies/starworks
業務經理 Sales Manager（需對業績負責，有業績獎金）,臺灣各種吧股份有限公司,Education,Sales,Enterprise Sales,Full-time,Assistant,"Datong District, Taipei City, Taiwan 103",1,2 years of experience required,"35,000 ~ 46,000 TWD / month","['word', 'powerpoint', 'google drive']","［ 臺灣吧徵新夥伴啦！｜📣業務經理］
一個好作品的誕生，無非是創意、視覺、聲音、專案、角色、行銷等團隊，攜手努力打造而成🤜🤛，但作品如何與市場連動、獲得資源的挹注，便是業務團隊的手頭功夫！
臺灣吧十年，年年都有經典作品，希望擴大業務開發量能、發揮臺灣吧當家小生黑啤的魅力，為臺灣吧下一個十年鋪墊更多資源、發揮更多影響力！","☆ 工作內容
業務工作內容商業需求洽詢商業提案企劃預算毛利與製程規劃內外部溝通、交接與談判會遇到的專案類型影像設計（動畫、實拍、紀錄片、短影音⋯⋯等）角色聯名（圖像授權、平面與產品設計、人偶活動⋯⋯等）教育服務（課程製作、校園推廣、教案工作坊⋯⋯等）行銷宣傳（社群圖文、互動遊戲、策展服務⋯⋯等）以及以上的複合形式：Ｄ
☆ 必備條件
商業提案能力：包含理解需求、規劃商業企劃，以及簡報排版與表達目標達成動力：能分析問題並找解方，積極主動達成業績目標團隊協作能力：能與不同職能夥伴協作溝通，尋求共識商業思維：理解產品毛利與組織運作的關聯性，具有數字敏感度
☆ 加分能力
喜歡角色，或曾經有在 IP 代理商、品牌授權端工作經驗曾在設計、影像、廣告、行銷相關產業擔任業務開發或客戶經理熟悉政府標案、補助案申請具有陌生開發能力，包含電話行銷、地推開發等具有美感、簡報設計能力",https://www.cake.me/companies/taiwanbar-cc/jobs/536485?locale=en,11 - 50 people,台北市大同區承德路二段193號2樓,"2014 年 9 月，臺灣吧以《動畫臺灣史》系列影片開啟知識動畫的新時代，隨後陸續製作歷史、哲學、法律、經濟、科學等各種各樣的主題內容，我們努力將複雜的知識內容，轉譯成普遍觀眾能夠理解的展演形式，也持續探索媒體結合教育的更多可能。
臺灣吧從知識教育的內容出發，因應需要開發出「黑啤與啤下組織」等角色 IP，吸引更多用戶，更透過用戶的年齡與喜好內容來區別受眾，讓議題的推廣效益最大化，同時也累積出更多媒體聲量，Youtube 頻道訂閱人數超過110萬。",https://www.cake.me/companies/taiwanbar-cc
品牌行銷經理,臺灣各種吧股份有限公司,Education,Marketing / Advertising,Brand Marketer,Full-time,Assistant,"Datong District, Taipei City, Taiwan",1,3 years of experience required,"40,000 ~ 50,000 TWD / month",[],"我們正在尋找一位具備品牌策略與內容行銷實力的夥伴，能夠規劃臺灣吧及旗下小黑啤品牌的溝通策略，並協助各平台內容規劃達成最佳效果，包含品牌聲量提升與銷售轉換。此職位將會密切與執行長、公關及行銷夥伴協作，期待對知識轉譯、教育及角色 IP 有熱誠的你加入團隊！
工作內容
臺灣吧及小黑啤品牌的溝通策略制定與執行。臺灣吧及小黑啤客戶經營與策略擬定和執行（經營渠道包含線上及線下）。小黑啤自主媒體渠道之管理與內容發布（包括但不限於官網、YT、IG、FB 等）。另外有機會接觸到大抓周學院、黑啤與啤下組織等不同品牌。","必備條件
具備 3 年以上品牌行銷或品牌社群管理經驗。了解網路行銷和內容生態變化。能獨立作業，並自主工作管理。優秀的溝通與協作能力，能與內外部團隊順暢合作。邏輯清晰，論述完整。
加分條件
有教育、廣告行銷和產品集資相關產業經驗者。有實體活動規劃及執行經驗。有跟 AI 協作，提升工作效率的經驗。",https://www.cake.me/companies/taiwanbar-cc/jobs/brand-marketing-manager-full-time?locale=en,11 - 50 people,台北市大同區承德路二段193號2樓,"2014 年 9 月，臺灣吧以《動畫臺灣史》系列影片開啟知識動畫的新時代，隨後陸續製作歷史、哲學、法律、經濟、科學等各種各樣的主題內容，我們努力將複雜的知識內容，轉譯成普遍觀眾能夠理解的展演形式，也持續探索媒體結合教育的更多可能。
臺灣吧從知識教育的內容出發，因應需要開發出「黑啤與啤下組織」等角色 IP，吸引更多用戶，更透過用戶的年齡與喜好內容來區別受眾，讓議題的推廣效益最大化，同時也累積出更多媒體聲量，Youtube 頻道訂閱人數超過110萬。",https://www.cake.me/companies/taiwanbar-cc
商品行銷經理（需對業績負責，有業績獎金）,臺灣各種吧股份有限公司,Education,Marketing / Advertising,Digital Marketer,Full-time,Assistant,"Datong District, Taipei City, Taiwan",1,2 years of experience required,"450,000 ~ 650,000 TWD / year","['Excel', 'Microsoft Office', 'Google Drive']","我們在找：
想投入學習產業的行銷人、具備行銷知識的產品人
如果你正好關心文化、教育、數位學習領域，那你就是我們在找的「灣吧人」！
工作內容藉由受眾洞察、需求探尋，制定出適合的行銷方案與行動方案，個人需直接負責且達成年度 1,000-1,500 萬的業績。#數位課程銷售：能執行受眾訪談與問卷設計，洞察學齡階段的教育需求與痛點，為親子、教師、學生等客群規劃行銷活動並達成課程銷售目標。#數位課程銷售：熟悉數位廣告（Meta/Google）、SEO、KOL 合作、通路/異業合作等管道，與專職的同事或團隊合作達成業績。",必備條件2 年以上的電商行銷經驗，能佈建完整的顧客消費旅程。具備 GA4 行銷數據判讀與分析能力。具備 Meta、Google 廣告投放與數據分析能力。有執行過受眾訪談經驗，能製作消費者輪廓分析，並以此提出銷售策略。有強大的好奇心，持續追求銷售效益提升。有堅強的抗壓性，卡關時能耐心找到原因，直到突破困境。加分條件（不用樣樣都會，但每滿足一項都會很加分）曾執行過群眾集資專案曾有數位學習、教育相關產業工作經驗具備電子商務領域的獨到洞察和特殊專長（例如：文案超強、共情能力絕佳、做報表又快又精準有自學經驗，樂於學習以獲得任何新技能、興趣。短影音企劃能力。可獨立運用設計工具，製作行銷素材。有跟 AI 協作、加速工作流程的經驗。,https://www.cake.me/companies/taiwanbar-cc/jobs/60e845?locale=en,11 - 50 people,台北市大同區承德路二段193號2樓,"2014 年 9 月，臺灣吧以《動畫臺灣史》系列影片開啟知識動畫的新時代，隨後陸續製作歷史、哲學、法律、經濟、科學等各種各樣的主題內容，我們努力將複雜的知識內容，轉譯成普遍觀眾能夠理解的展演形式，也持續探索媒體結合教育的更多可能。
臺灣吧從知識教育的內容出發，因應需要開發出「黑啤與啤下組織」等角色 IP，吸引更多用戶，更透過用戶的年齡與喜好內容來區別受眾，讓議題的推廣效益最大化，同時也累積出更多媒體聲量，Youtube 頻道訂閱人數超過110萬。",https://www.cake.me/companies/taiwanbar-cc
內容企劃/編劇,臺灣各種吧股份有限公司,Education,Media / Communication,Producer,Full-time,Assistant,"Datong District, Taipei City, Taiwan",1,1 years of experience required,"35,000 ~ 50,000 TWD / month",[],"你的腦袋總是充滿天馬行空的想法、擁有滿滿的創作能量嗎？你是關注社會、時事、臺灣的捧油嗎？我們在尋找有創意與執行力的夥伴加入我們～
期待你對世界充滿好奇，並擁有提出問題的技巧、分析問題的技術，還有解答問題的能力。把各種生硬巨量的知識，轉譯成好入口又不失營養的內容，讓更多人阿姆阿姆吃下去！
工作內容
節目與廣告案的企劃及劇本編寫。統籌節目與廣告案的製作。協助影片拍攝與後製相關工作。","一定要的職能
具有良好的媒體識讀能力，知道怎麼搜集資料、判別可靠的來源。文字解讀與應用能力強，可以獨立完成文案與企劃撰寫。知識型內容的編劇能力（歡迎附上相關作品集）。對影像有感，懂得活用不同素材來說明事情。能夠與不同部門夥伴進行順暢溝通與協作。對新事物充滿好奇與強大的自學力。
加分技能
具備剪輯與實拍能力 （請附上作品集）。有社群經營經歷（請附上案例說明，並介紹自己在案件中負責的項目）。一年以上文字或影像相關經驗。有跟 AI 協作、加速工作流程的經驗。

薪資待遇
每月35,000～45,000元（依經驗及能力核薪，有機會再向上調整！）",https://www.cake.me/companies/taiwanbar-cc/jobs/content-planning-screenwriting?locale=en,11 - 50 people,台北市大同區承德路二段193號2樓,"2014 年 9 月，臺灣吧以《動畫臺灣史》系列影片開啟知識動畫的新時代，隨後陸續製作歷史、哲學、法律、經濟、科學等各種各樣的主題內容，我們努力將複雜的知識內容，轉譯成普遍觀眾能夠理解的展演形式，也持續探索媒體結合教育的更多可能。
臺灣吧從知識教育的內容出發，因應需要開發出「黑啤與啤下組織」等角色 IP，吸引更多用戶，更透過用戶的年齡與喜好內容來區別受眾，讓議題的推廣效益最大化，同時也累積出更多媒體聲量，Youtube 頻道訂閱人數超過110萬。",https://www.cake.me/companies/taiwanbar-cc
社群內容設計師｜Digital Content Stylist,柏成設計  JC. Architecture & Design,Design,Design,VMD Designer,Full-time,Assistant,"Daan District, Taipei City, Taiwan",1,No requirement for relevant working experience,"35,000 ~ 45,000 TWD / month",[],"你的任務是讓每一則貼文都像一場視覺盛宴。
我們正在尋找一位對美感極度敏銳、擅長視覺敘事與風格設計的內容創作者。你不只是做圖與剪輯，而是將品牌精神轉化成讓人想停下來、點進去、分享出去的內容魔法師！","01｜社群視覺內容創作
製作貼近品牌風格的圖片、短影片、動態視覺等素材，讓 Instagram、Facebook、LinkedIn 等平台上的每一則貼文都能在第一秒抓住目光。
02｜視覺風格規劃與優化
統籌品牌在各社群平台的視覺風格走向與編排節奏，建立內容模板與視覺準則，讓品牌在每個平台都有一致又吸睛的呈現。
03｜內容共創與企劃參與
與公關、設計團隊共同討論內容主題與企劃方向，針對不同活動與專案，量身打造視覺傳達形式。
04｜動態影像與簡短影片製作
善於製作具節奏感、風格鮮明的短影音與 reels，提升社群互動率與停留時間，讓內容更具流動感與感染力。
05｜社群趨勢追蹤與風格實驗
時時關注社群趨勢與視覺新手法，勇於嘗試、樂於實驗，讓內容不只漂亮，更能打中當下社群氛圍。【我們希望你具備的能力】


有社群內容製作或數位設計經驗，擅長 Adobe Creative Suite 或 Canva 等工具。


擁有優秀的視覺美感與風格掌握力，能獨立完成平面與動態社群內容。


熟悉 Instagram、Facebook、LinkedIn、YouTube Shorts 等社群平台的內容操作邏輯。


能從品牌核心出發，創作具一致性與溫度的視覺語言。


具良好溝通能力，能跨部門合作與主動提出創意【加分項目】熟悉建築／設計／時尚／文化創意等領域風格者佳。具備拍攝基礎與剪輯能力，能獨立產出簡短影片內容。具備社群數據分析基本概念，能針對成效提出優化建議。在這裡，你的設計不只是上稿，而是被看見、被共鳴、被轉傳的創作。你將參與設計背後的故事，用視覺說話，讓每一個貼文都成為品牌的另一種展現。申請方式：請將你的履歷與作品集（社群設計圖像、短影片等）寄至：[email protected]我們期待看到你用影像說故事的能力，並與你一起創造令人難忘的內容！",https://www.cake.me/companies/jc-architecture-design/jobs/social-content-designer-digital-content-stylist?locale=en,11 - 50 people,"1F. No 144, Chaozhou St. Da-an Dist. Taipei 10649. Taiwan","柏成設計（JC Architecture & Design）秉持「Dare to Dream 敢於夢想」的理念，致力於突破傳統界限，並不斷探索設計的無限可能性，創造出賦能世界的作品。公司擁有豐富的跨領域設計經驗，專案涵蓋住宅、辦公空間、商業場域、策展與藝術、交通設計、家具等多個領域。代表作品包括鳴日號、澎湖輪、不只是圖書館、Bloom 椅子、北美館藝術商店及 JCA 生活實驗所等，並屢獲國際設計大獎如英國 INSIDE/WAF 年度設計大獎、美國 AAP、日本 Good Design、台灣金點設計獎、德國紅點與 IF 金獎等。
2024 Architizer A+Awards 「Best Public Projects Firm 最佳公共專案事務所」」最終前五強2023 Shopping Design BEST100 年度時人/團隊2022 Architizer A+Awards 中被選為 「Best in Asia 亞洲最優」 和「Best Cultural Firm 最佳文化事務所」的特別提名",https://www.cake.me/companies/jc-architecture-design
產品企劃,禾亞數位科技股份有限公司,Blockchain,IT,Assistant Engineer,Full-time,Assistant,"Xinyi District, Taipei City, Taiwan",1,2 years of experience required,"45,000+ TWD / month","['PMA專案助理', 'PM']","HOYA BIT 致力成為加密貨幣新鮮人的最佳信任夥伴，我們致力研究加密貨幣的解決場景，並針對用戶需求提供解決方案，讓加密貨幣便利每個人的生活!經營理念享受工作與生活當你踏入 HOYA BIT 後，你會發現我們致力讓員工創造與突破，高成就感與高報酬是讓每一個夥伴全力以赴的原動力!高度成長與不斷創新HOYA BIT 鼓勵每一位的夥伴不斷創新，唯有求新求變才能撼動市場，為此我們也提供每位夥伴學習經費，並透過每個月的內部交流及外部講座提升每一個夥伴的能力！客戶至上的服務模式由於 HOYA BIT 是主打新手友善的加密貨幣交易所，所以我們以積極熱情的精神來服務我們的客戶，並致力透過每一個用戶的回饋來改善 HOYA BIT 的產品及服務，唯有熱情擁抱用戶，才能得到用戶的最高信任。我們相信越好的人才就需要越少的管理，所以在管理上我們只要求夥伴們尊重會議所決定的專案期程，在過程中若遇任何困難都請「即時提出」、才能「及時解決」，在辦公部份我們也致力打造讓大家都能舒適工作的環境。歡迎高手突破我們薪資天花板！

【職務內容與職責】1. 協助產品經理（PM）進行專案計劃的制定與更新，確保所有文件、時間表和專案資訊的準確性與完整性。2. 支援會議的安排與會議紀要撰寫，並跟進會議中的行動項目，以確保專案相關的任務能夠按時完成。3. 協助管理專案文件和溝通渠道，包括內部團隊和外部廠商之間聯繫，確保資訊流通順暢。4. 協助準備和整理專案報告。5. 主管交辦事項。6. 配合各項專案執行及庶務性行政工作、文件製作，資料整理及歸檔。",【具備條件】1. 經驗要求：至少2年以上工作經驗，願意學習且對區塊鏈產業抱持高度熱忱。2. 溝通能力：具備出色的溝通技巧，能夠與技術團隊及其他部門有效合作。【加分項目】1. 能夠獨立進行市場與需求分析，熟悉敏捷開發流程，具備數據分析、產品規劃與執行能力，2. 具備系統規劃能力，包含資料流程規劃、商務邏輯設計、wireframe製作。3. markdown 類型文件管理軟體及專案管理軟體尤佳。,https://www.cake.me/companies/hoyabit/jobs/product-assistant-079f36?locale=en,11 - 50 people,台灣台北市信義區松高路77號34 樓 之 1,"HOYA BIT 最友善的國際加密貨幣交易所
HOYA BIT 通過金管會函文核准，是一間合法合規的加密貨幣交易所，首度結合強而有力的全球戰略夥伴，24 小時把關你的投資。HOYA BIT 給予尚未了解加密貨幣的投資人最衷心的承諾：「 合法合規、穩健收益、直覺易用 」，加密貨幣無遠弗屆，我們紮根台灣、放眼世界！
HOYA BIT 將是你與世界新型態金融模式的入口
化繁為簡才能真正普及。HOYA BIT 每一個功能都做到真正的簡單好用，操作「直覺化」是我們奉行的理念，專注於提供加密貨幣新手友善
的加密貨幣交易所。
習慣投資就是選擇自由
HOYA BIT 提供充足的教育資訊與幣圈科普知識，“投資前我們帶你做好研究”，希望藉著我們的平台陪伴初次涉足加密貨幣市場的用戶，循序漸進的了解這個新型態金融市場。HOYA BIT 與廣大個人用戶站在同一陣線，致力於打造一站式加密貨幣交易所。
HOYA BIT 交易所擁有三大核心：
1. 合法合規：
一切合法合規是對所有用戶的保障！！ HOYA BIT 承諾一切業務將遵守政府制定相關法律，公司編制包含法務、內控與稽核人員，並與國際級律師、會計師、政府相關單位合作，讓 HOYA BIT 能夠在為用戶的服務上走的長久。
2. 穩健收益：
HOYA BIT 作為最為用戶著想的加密貨幣交易所，上架的所有幣種，都會經過嚴格篩選，透過這種方式幫助用戶杜絕一切容易暴漲、暴跌，甚至可能下市的高風險幣種。更不定期的推出投資專案，讓用戶們能享受低風險的穩健投資。
3. 直覺易用：
HOYA BIT 每一個功能都做到真正的簡單好用，操作「直覺化」是我們奉行的理念。身為對新手最友善的交易所，HOYA BIT 還提供親切的諮詢服務，不論是交易上面的問題、加密貨幣的最新資訊，都歡迎您與我們交流。",https://www.cake.me/companies/hoyabit
主管特別助理,Claire's English,Education,Management / Business,Secretary,Full-time,Assistant,Taiwan,1,2 years of experience required,"35,000 ~ 60,000 TWD / month",[],"【工作地點】全遠端工作
【工作職責】你將會與公司主管緊密合作，擔任公司主管的助理
你將會協助推動公司中教學、產品、社群各個大方向，並確保內外溝通順利進行 - 擔任主管對內與對外聯繫窗口與行程安排（回覆email, 訊息, 通話等）- 主管行程安排協調- 注重細節，能夠精確處理各項任務 
- 公司文件報表製作與文書表單處理（Microsoft Office, Google 雲端文件等）- 企劃提案與撰寫- 網站資訊和資料更新與維護- 課程、社群圖文影音，簡易後製- 影片歸檔和整理-其它主管交辦事項【上班時間】
台灣時間早上8點至下午5點
【公司福利】
針對本職務，我們提供遠端在家工作福利，基本的勞健保，年度績效獎金，公司活動聚會，帶薪休假及台灣國定假日休假。
【關於克雷英文】在克雷英文，我們致力於為即將出國學生提供托福相關考試內容服務，以及英文會話等周邊產品，讓學生能在出國前提升的英文實力，邁向職涯下一步。我們的服務範圍包括：TOEFL考試課程，個人一對一課程和小班線上課程。我們歡迎注重對人的關懷、有團隊合作精神和喜歡嘗試新事物的你加入我們！歡迎先行了解公司業務：官網 https://www.clairesenglish.comYoutube https://www.youtube.com/channel/UCa5oulemRwjN3zEVHWPJuUg","【職務需求】你必須具備的條件：- 至少2年行政職或主管助理全職職務經驗- 善於使用文書、圖片與影片製作軟體（Microsoft Office, Google, Canva, etc.)- 善於文書細節處理、很會抓錯字- 口條與文字溝通能力極佳- 喜歡學習新事物與接受挑戰 (例如：你會使用ChatGPT)- 你喜歡團隊合作、有時間管理觀念- 能因應遠端工作快速學習新的數位工具、會主動溝通加分條件：- 極佳的英文聽說讀寫能力（多益900分以上、托福100分以上或同等能力）- 有銷售、行銷、業務經驗至少2年- 對英文、留學、數位教育產業有深厚興趣",https://www.cake.me/companies/claire-s-english/jobs/special-assistant-to-the-director-915728?locale=en,1 - 10 people,106 台北市大安區忠孝東路四段270號17樓,"我們重視每一位員工的成長學習與個人目標，員工享有全職遠端工作福利，歡迎優秀的你一起加入 克雷英文Claire's English工作行列，一起參與在學生們實現夢想的旅程中！Claire’s English is committed to helping students who want to study or work abroad achieve their target scores for TOEFL. We offer live and on-demand lessons to refine students’ speaking, listening, reading, and writing skills. We also offer services such as essay reviews, school application reviews, and more.",https://www.cake.me/companies/claire-s-english
